file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000138,2026-09-11T15:04:17.551,horizontal,,,0,8,0.9433,YOLO-omega,
cap_000139,2026-09-11T15:04:17.651,horizontal,,,0,9,0.9446,YOLO-omega,
cap_000140,2026-09-11T15:04:17.756,horizontal,,,0,10,0.9424,YOLO-omega,
cap_000141,2026-09-11T15:04:17.854,horizontal,,,0,10,0.9386,YOLO-omega,
cap_000142,2026-09-11T15:04:17.975,horizontal,,,0,12,0.9391,YOLO-omega,
cap_000143,2026-09-11T15:04:18.065,horizontal,,,0,9,0.9394,YOLO-omega,
cap_000144,2026-09-11T15:04:18.187,horizontal,,,0,9,0.9366,YOLO-omega,
cap_000145,2026-09-11T15:04:18.285,horizontal,,,0,9,0.9416,YOLO-omega,
cap_000146,2026-09-11T15:04:18.413,horizontal,,,0,10,0.9459,YOLO-omega,
cap_000147,2026-09-11T15:04:18.542,horizontal,,,0,10,0.9486,YOLO-omega,
cap_000148,2026-09-11T15:04:18.638,horizontal,,,0,9,0.9493,YOLO-omega,
cap_000149,2026-09-11T15:04:18.767,horizontal,,,0,8,0.9412,YOLO-omega,
cap_000150,2026-09-11T15:04:18.863,horizontal,,,0,8,0.9576,YOLO-omega,
cap_000151,2026-09-11T15:04:18.987,horizontal,,,0,7,0.9473,YOLO-omega,
cap_000152,2026-09-11T15:04:19.073,horizontal,,,0,7,0.9450,YOLO-omega,
cap_000153,2026-09-11T15:04:19.207,horizontal,,,0,8,0.9416,YOLO-omega,
cap_000154,2026-09-11T15:04:19.335,horizontal,,,0,8,0.9447,YOLO-omega,
cap_000155,2026-09-11T15:04:19.431,horizontal,,,0,9,0.9361,YOLO-omega,
cap_000156,2026-09-11T15:04:19.560,horizontal,,,0,9,0.9407,YOLO-omega,
cap_000157,2026-09-11T15:04:19.658,horizontal,,,0,8,0.9409,YOLO-omega,
cap_000158,2026-09-11T15:04:19.790,horizontal,,,0,8,0.9390,YOLO-omega,
cap_000159,2026-09-11T15:04:19.883,horizontal,,,0,7,0.9373,YOLO-omega,
cap_000160,2026-09-11T15:04:20.013,horizontal,,,0,7,0.9350,YOLO-omega,
cap_000161,2026-09-11T15:04:20.119,horizontal,,,0,7,0.9393,YOLO-omega,
cap_000162,2026-09-11T15:04:20.235,horizontal,,,0,8,0.9379,YOLO-omega,
cap_000163,2026-09-11T15:04:20.363,horizontal,,,0,8,0.9264,YOLO-omega,
cap_000164,2026-09-11T15:04:20.456,horizontal,,,0,9,0.9279,YOLO-omega,
cap_000165,2026-09-11T15:04:20.589,horizontal,,,0,8,0.9240,YOLO-omega,
cap_000166,2026-09-11T15:04:20.679,horizontal,,,0,9,0.9317,YOLO-omega,
cap_000167,2026-09-11T15:04:20.811,horizontal,,,0,9,0.9342,YOLO-omega,
cap_000168,2026-09-11T15:04:20.908,horizontal,,,0,8,0.9353,YOLO-omega,
cap_000169,2026-09-11T15:04:21.037,horizontal,,,0,8,0.9395,YOLO-omega,
cap_000170,2026-09-11T15:04:21.174,horizontal,,,0,7,0.9397,YOLO-omega,
cap_000171,2026-09-11T15:04:21.263,horizontal,,,0,8,0.9386,YOLO-omega,
cap_000172,2026-09-11T15:04:21.390,horizontal,,,0,7,0.9419,YOLO-omega,
cap_000173,2026-09-11T15:04:21.485,horizontal,,,0,9,0.9426,YOLO-omega,
cap_000174,2026-09-11T15:04:21.608,horizontal,,,0,8,0.9415,YOLO-omega,
cap_000175,2026-09-11T15:04:21.703,horizontal,,,0,7,0.9398,YOLO-omega,
cap_000176,2026-09-11T15:04:21.836,horizontal,,,0,7,0.9398,YOLO-omega,
cap_000177,2026-09-11T15:04:21.932,horizontal,,,0,6,0.9386,YOLO-omega,
cap_000178,2026-09-11T15:04:22.054,horizontal,,,0,8,0.9388,YOLO-omega,
cap_000179,2026-09-11T15:04:22.183,horizontal,,,0,8,0.9489,YOLO-omega,
cap_000180,2026-09-11T15:04:22.277,horizontal,,,0,8,0.9428,YOLO-omega,
cap_000181,2026-09-11T15:04:22.407,horizontal,,,0,8,0.9454,YOLO-omega,
cap_000182,2026-09-11T15:04:22.502,horizontal,,,0,8,0.9435,YOLO-omega,
cap_000183,2026-09-11T15:04:22.633,horizontal,,,0,7,0.9454,YOLO-omega,
cap_000184,2026-09-11T15:04:22.729,horizontal,,,0,7,0.9463,YOLO-omega,
cap_000185,2026-09-11T15:04:22.855,horizontal,,,0,7,0.9393,YOLO-omega,
cap_000186,2026-09-11T15:04:22.982,horizontal,,,0,7,0.9434,YOLO-omega,
cap_000187,2026-09-11T15:04:23.080,horizontal,,,0,8,0.9348,YOLO-omega,
cap_000188,2026-09-11T15:04:23.211,horizontal,,,0,7,0.9366,YOLO-omega,
cap_000189,2026-09-11T15:04:23.307,horizontal,,,0,7,0.9322,YOLO-omega,
cap_000190,2026-09-11T15:04:23.432,horizontal,,,0,9,0.9387,YOLO-omega,
cap_000191,2026-09-11T15:04:23.527,horizontal,,,0,6,0.9386,YOLO-omega,
cap_000192,2026-09-11T15:04:23.655,horizontal,,,0,7,0.9327,YOLO-omega,
cap_000193,2026-09-11T15:04:23.750,horizontal,,,0,7,0.9300,YOLO-omega,
cap_000194,2026-09-11T15:04:23.880,horizontal,,,0,9,0.9526,YOLO-omega,
cap_000195,2026-09-11T15:04:24.009,horizontal,,,0,9,0.9338,YOLO-omega,
cap_000196,2026-09-11T15:04:24.103,horizontal,,,0,8,0.9330,YOLO-omega,
cap_000197,2026-09-11T15:04:24.234,horizontal,,,0,8,0.9371,YOLO-omega,
cap_000198,2026-09-11T15:04:24.327,horizontal,,,0,10,0.9388,YOLO-omega,
cap_000199,2026-09-11T15:04:24.456,horizontal,,,0,9,0.9376,YOLO-omega,
cap_000200,2026-09-11T15:04:24.551,horizontal,,,0,9,0.9446,YOLO-omega,
cap_000201,2026-09-11T15:04:24.681,horizontal,,,0,9,0.9451,YOLO-omega,
cap_000202,2026-09-11T15:04:24.779,horizontal,,,0,8,0.9532,YOLO-omega,
cap_000203,2026-09-11T15:04:24.906,horizontal,,,0,8,0.9670,YOLO-omega,
cap_000204,2026-09-11T15:04:25.042,horizontal,,,0,7,0.9411,YOLO-omega,
cap_000205,2026-09-11T15:04:25.130,horizontal,,,0,8,0.9460,YOLO-omega,
cap_000206,2026-09-11T15:04:25.256,horizontal,,,0,8,0.9363,YOLO-omega,
cap_000207,2026-09-11T15:04:25.348,horizontal,,,0,8,0.9396,YOLO-omega,
cap_000208,2026-09-11T15:04:25.493,horizontal,,,0,8,0.9405,YOLO-omega,
cap_000209,2026-09-11T15:04:25.574,horizontal,,,0,8,0.9441,YOLO-omega,
cap_000210,2026-09-11T15:04:25.702,horizontal,,,0,7,0.9472,YOLO-omega,
cap_000211,2026-09-11T15:04:25.830,horizontal,,,0,10,0.9441,YOLO-omega,
cap_000212,2026-09-11T15:04:25.929,horizontal,,,0,8,0.9434,YOLO-omega,
cap_000213,2026-09-11T15:04:26.054,horizontal,,,0,8,0.9457,YOLO-omega,
cap_000214,2026-09-11T15:04:26.153,horizontal,,,0,10,0.9432,YOLO-omega,
cap_000215,2026-09-11T15:04:26.288,horizontal,,,0,8,0.9440,YOLO-omega,
cap_000216,2026-09-11T15:04:26.391,horizontal,,,0,7,0.9259,YOLO-omega,
cap_000217,2026-09-11T15:04:26.502,horizontal,,,0,8,0.9452,YOLO-omega,
cap_000218,2026-09-11T15:04:26.598,horizontal,,,0,10,0.9501,YOLO-omega,
cap_000219,2026-09-11T15:04:26.724,horizontal,,,0,8,0.9542,YOLO-omega,
cap_000220,2026-09-11T15:04:26.856,horizontal,,,0,8,0.9611,YOLO-omega,
cap_000221,2026-09-11T15:04:26.954,horizontal,,,0,10,0.9303,YOLO-omega,
cap_000222,2026-09-11T15:04:27.078,horizontal,,,0,11,0.9447,YOLO-omega,
cap_000223,2026-09-11T15:04:27.199,horizontal,,,0,10,0.9413,YOLO-omega,
cap_000224,2026-09-11T15:04:27.300,horizontal,,,0,10,0.9359,YOLO-omega,
cap_000225,2026-09-11T15:04:27.398,horizontal,,,0,8,0.9326,YOLO-omega,
cap_000226,2026-09-11T15:04:27.533,horizontal,,,0,8,0.9242,YOLO-omega,
cap_000227,2026-09-11T15:04:27.663,horizontal,,,0,8,0.9514,YOLO-omega,
cap_000228,2026-09-11T15:04:27.759,horizontal,,,0,7,0.9427,YOLO-omega,
cap_000229,2026-09-11T15:04:27.887,horizontal,,,0,8,0.9440,YOLO-omega,
cap_000230,2026-09-11T15:04:27.986,horizontal,,,0,9,0.9164,YOLO-omega,
cap_000231,2026-09-11T15:04:28.102,horizontal,,,0,9,0.9457,YOLO-omega,
cap_000232,2026-09-11T15:04:28.202,horizontal,,,0,9,0.9240,YOLO-omega,
cap_000233,2026-09-11T15:04:28.336,horizontal,,,0,9,0.9482,YOLO-omega,
cap_000234,2026-09-11T15:04:28.431,horizontal,,,0,8,0.9170,YOLO-omega,
cap_000235,2026-09-11T15:04:28.557,horizontal,,,0,10,0.9382,YOLO-omega,
cap_000236,2026-09-11T15:04:28.695,horizontal,,,0,10,0.9352,YOLO-omega,
cap_000237,2026-09-11T15:04:28.785,horizontal,,,0,10,0.9355,YOLO-omega,
cap_000238,2026-09-11T15:04:28.904,horizontal,,,0,10,0.9390,YOLO-omega,
cap_000239,2026-09-11T15:04:29.001,horizontal,,,0,10,0.9407,YOLO-omega,
cap_000240,2026-09-11T15:04:29.131,horizontal,,,0,9,0.9273,YOLO-omega,
cap_000241,2026-09-11T15:04:29.228,horizontal,,,0,10,0.9421,YOLO-omega,
cap_000242,2026-09-11T15:04:29.355,horizontal,,,0,10,0.9418,YOLO-omega,
cap_000243,2026-09-11T15:04:29.485,horizontal,,,0,9,0.9507,YOLO-omega,
cap_000244,2026-09-11T15:04:29.592,horizontal,,,0,9,0.9499,YOLO-omega,
cap_000245,2026-09-11T15:04:29.708,horizontal,,,0,9,0.9542,YOLO-omega,
cap_000246,2026-09-11T15:04:29.799,horizontal,,,0,10,0.9541,YOLO-omega,
cap_000247,2026-09-11T15:04:29.929,horizontal,,,0,10,0.9536,YOLO-omega,
cap_000248,2026-09-11T15:04:30.036,horizontal,,,0,10,0.9525,YOLO-omega,
cap_000249,2026-09-11T15:04:30.153,horizontal,,,0,9,0.9466,YOLO-omega,
cap_000250,2026-09-11T15:04:30.253,horizontal,,,0,9,0.9453,YOLO-omega,
cap_000251,2026-09-11T15:04:30.378,horizontal,,,0,9,0.9467,YOLO-omega,
cap_000252,2026-09-11T15:04:30.509,horizontal,,,0,8,0.9390,YOLO-omega,
cap_000253,2026-09-11T15:04:30.605,horizontal,,,0,9,0.9469,YOLO-omega,
cap_000254,2026-09-11T15:04:30.735,horizontal,,,0,10,0.9440,YOLO-omega,
