frame,timestamp,n_tracks,n_confirmed,n_blobs,yolo_ran,trigger,infer_ms,loop_ms,ambient_c,note
159,2026-09-11T15:01:47.608,7,6,0,1,every frame,40.8,40.6,24.51,
160,2026-09-11T15:01:47.737,7,6,0,1,every frame,40.8,41.1,24.51,
161,2026-09-11T15:01:47.832,6,6,0,1,every frame,40.7,40.5,24.51,
162,2026-09-11T15:01:47.970,7,5,0,1,every frame,41.6,50.2,24.51,
163,2026-09-11T15:01:48.059,7,5,0,1,every frame,41.8,43.6,24.51,
164,2026-09-11T15:01:48.185,7,4,0,1,every frame,41.7,41.1,24.51,
165,2026-09-11T15:01:48.281,7,4,0,1,every frame,41.6,40.9,24.51,
166,2026-09-11T15:01:48.409,7,5,0,1,every frame,41.4,40.4,24.55,
167,2026-09-11T15:01:48.536,7,6,0,1,every frame,41.3,40.2,24.58,
168,2026-09-11T15:01:48.636,7,5,0,1,every frame,41.3,42.1,24.62,
169,2026-09-11T15:01:48.763,7,4,0,1,every frame,41.5,43.4,24.60,
170,2026-09-11T15:01:48.860,8,4,0,1,every frame,41.7,44.0,24.60,
171,2026-09-11T15:01:48.985,7,6,0,1,every frame,41.6,40.7,24.58,
172,2026-09-11T15:01:49.082,7,7,0,1,every frame,41.6,41.8,24.60,
173,2026-09-11T15:01:49.209,7,4,0,1,every frame,41.5,40.7,24.62,
174,2026-09-11T15:01:49.336,7,6,0,1,every frame,41.3,39.8,24.62,
175,2026-09-11T15:01:49.432,7,6,0,1,every frame,41.1,40.0,24.60,
176,2026-09-11T15:01:49.559,7,6,0,1,every frame,40.9,39.2,24.60,
177,2026-09-11T15:01:49.655,7,5,0,1,every frame,40.7,39.4,24.60,
178,2026-09-11T15:01:49.782,7,5,0,1,every frame,40.5,38.2,24.62,
179,2026-09-11T15:01:49.878,8,6,0,1,every frame,40.2,38.7,24.62,
180,2026-09-11T15:01:50.008,8,7,0,1,every frame,40.2,40.0,24.60,
181,2026-09-11T15:01:50.103,7,6,0,1,every frame,40.0,38.8,24.60,
182,2026-09-11T15:01:50.231,7,6,0,1,every frame,39.9,38.6,24.60,
183,2026-09-11T15:01:50.360,7,5,0,1,every frame,39.8,39.5,24.58,
184,2026-09-11T15:01:50.455,7,5,0,1,every frame,39.7,39.4,24.58,
185,2026-09-11T15:01:50.583,7,5,0,1,every frame,39.6,38.7,24.58,
186,2026-09-11T15:01:50.682,7,5,0,1,every frame,39.8,42.2,24.58,
187,2026-09-11T15:01:50.814,7,5,0,1,every frame,40.4,45.3,24.58,
188,2026-09-11T15:01:50.911,7,5,0,1,every frame,41.0,47.3,24.58,
189,2026-09-11T15:01:51.040,6,4,0,1,every frame,41.7,47.7,24.58,
190,2026-09-11T15:01:51.169,6,4,0,1,every frame,42.4,48.9,24.58,
191,2026-09-11T15:01:51.264,5,4,0,1,every frame,42.9,48.2,24.60,
192,2026-09-11T15:01:51.393,5,5,0,1,every frame,43.5,48.5,24.60,
193,2026-09-11T15:01:51.485,5,4,0,1,every frame,43.6,45.1,24.60,
194,2026-09-11T15:01:51.618,7,4,0,1,every frame,44.3,50.5,24.60,
195,2026-09-11T15:01:51.710,7,5,0,1,every frame,44.4,46.0,24.60,
196,2026-09-11T15:01:51.843,7,4,0,1,every frame,45.0,51.1,24.60,
197,2026-09-11T15:01:51.936,7,4,0,1,every frame,45.3,48.1,24.59,
198,2026-09-11T15:01:52.074,7,4,0,1,every frame,46.6,57.9,24.60,
