frame,timestamp,n_person,n_omega,conf_mean,conf_min,ambient_c,thresh,note
412,2026-08-27T12:49:05.310,1,1,0.880,0.847,24.14,0.374,
413,2026-08-27T12:49:05.441,1,1,0.874,0.841,24.11,0.374,
414,2026-08-27T12:49:05.537,1,1,0.889,0.842,24.11,0.374,
415,2026-08-27T12:49:05.662,1,1,0.815,0.707,24.09,0.374,
416,2026-08-27T12:49:05.759,1,1,0.910,0.890,24.09,0.374,
417,2026-08-27T12:49:05.887,1,1,0.897,0.885,24.09,0.374,
418,2026-08-27T12:49:06.015,1,1,0.849,0.844,24.09,0.374,
419,2026-08-27T12:49:06.112,1,1,0.890,0.885,24.07,0.374,
420,2026-08-27T12:49:06.239,1,2,0.686,0.500,24.09,0.374,
421,2026-08-27T12:49:06.334,1,0,0.897,0.897,24.09,0.374,
422,2026-08-27T12:49:06.463,1,1,0.782,0.680,24.09,0.374,
423,2026-08-27T12:49:06.557,1,1,0.831,0.804,24.11,0.374,
424,2026-08-27T12:49:06.687,1,1,0.885,0.852,24.11,0.374,
425,2026-08-27T12:49:06.813,1,1,0.884,0.873,24.11,0.374,
426,2026-08-27T12:49:06.911,2,1,0.685,0.505,24.11,0.374,
427,2026-08-27T12:49:07.039,1,1,0.884,0.858,24.11,0.374,
428,2026-08-27T12:49:07.135,1,1,0.861,0.857,24.14,0.374,
429,2026-08-27T12:49:07.264,1,1,0.900,0.884,24.14,0.374,
430,2026-08-27T12:49:07.358,1,1,0.825,0.740,24.14,0.374,
431,2026-08-27T12:49:07.487,1,1,0.898,0.859,24.11,0.374,
432,2026-08-27T12:49:07.583,1,1,0.879,0.852,24.11,0.374,
433,2026-08-27T12:49:07.710,1,1,0.921,0.894,24.14,0.374,
434,2026-08-27T12:49:07.837,1,1,0.934,0.918,24.14,0.374,
435,2026-08-27T12:49:07.934,1,1,0.923,0.895,24.11,0.374,
436,2026-08-27T12:49:08.062,1,1,0.934,0.918,24.09,0.374,
437,2026-08-27T12:49:08.159,1,1,0.932,0.918,24.09,0.374,
438,2026-08-27T12:49:08.286,1,1,0.929,0.912,24.09,0.374,
439,2026-08-27T12:49:08.382,1,1,0.937,0.911,24.09,0.374,
440,2026-08-27T12:49:08.509,1,1,0.927,0.904,24.09,0.374,
441,2026-08-27T12:49:08.639,2,1,0.716,0.492,24.09,0.374,
442,2026-08-27T12:49:08.735,1,2,0.778,0.565,24.09,0.374,
443,2026-08-27T12:49:08.863,1,1,0.817,0.692,24.09,0.374,
444,2026-08-27T12:49:08.958,1,1,0.686,0.587,24.09,0.374,
445,2026-08-27T12:49:09.089,1,1,0.838,0.743,24.09,0.374,
446,2026-08-27T12:49:09.184,1,2,0.693,0.487,24.11,0.374,
447,2026-08-27T12:49:09.311,1,1,0.794,0.652,24.11,0.374,
448,2026-08-27T12:49:09.408,1,1,0.687,0.434,24.11,0.374,
449,2026-08-27T12:49:09.536,1,0,0.934,0.934,24.07,0.374,
450,2026-08-27T12:49:09.663,1,0,0.946,0.946,24.07,0.374,
451,2026-08-27T12:49:09.759,1,1,0.679,0.413,24.07,0.374,
452,2026-08-27T12:49:09.887,1,0,0.939,0.939,24.07,0.374,
453,2026-08-27T12:49:09.983,1,1,0.895,0.848,24.04,0.374,
454,2026-08-27T12:49:10.111,1,1,0.855,0.798,24.02,0.374,
455,2026-08-27T12:49:10.207,1,1,0.857,0.846,24.04,0.374,
456,2026-08-27T12:49:10.336,1,1,0.850,0.829,24.02,0.374,
457,2026-08-27T12:49:10.462,1,1,0.889,0.878,24.02,0.374,
458,2026-08-27T12:49:10.560,1,1,0.870,0.851,24.02,0.374,
459,2026-08-27T12:49:10.686,1,1,0.855,0.801,24.02,0.374,
460,2026-08-27T12:49:10.782,1,1,0.874,0.847,24.02,0.374,
461,2026-08-27T12:49:10.911,1,1,0.879,0.875,24.00,0.374,
462,2026-08-27T12:49:11.006,1,1,0.635,0.381,24.00,0.374,
463,2026-08-27T12:49:11.134,2,1,0.738,0.538,24.02,0.374,
464,2026-08-27T12:49:11.230,1,1,0.840,0.824,24.02,0.374,
465,2026-08-27T12:49:11.361,1,1,0.824,0.768,24.02,0.374,
466,2026-08-27T12:49:11.486,1,1,0.869,0.824,24.02,0.374,
467,2026-08-27T12:49:11.582,1,1,0.882,0.879,24.00,0.374,
468,2026-08-27T12:49:11.710,1,1,0.898,0.893,24.02,0.374,
469,2026-08-27T12:49:11.806,1,0,0.718,0.718,24.02,0.374,
470,2026-08-27T12:49:11.936,1,1,0.912,0.897,24.02,0.374,
471,2026-08-27T12:49:12.030,1,1,0.755,0.592,24.02,0.374,
472,2026-08-27T12:49:12.158,1,1,0.822,0.729,24.02,0.374,
473,2026-08-27T12:49:12.254,1,1,0.872,0.855,24.02,0.374,
474,2026-08-27T12:49:12.385,1,1,0.868,0.810,24.00,0.374,
475,2026-08-27T12:49:12.513,1,1,0.818,0.745,24.00,0.374,
476,2026-08-27T12:49:12.607,1,1,0.901,0.874,23.98,0.374,
477,2026-08-27T12:49:12.733,1,1,0.894,0.861,23.98,0.374,
478,2026-08-27T12:49:12.831,1,1,0.893,0.855,23.98,0.374,
479,2026-08-27T12:49:12.958,1,1,0.893,0.873,24.00,0.374,
480,2026-08-27T12:49:13.054,1,1,0.681,0.462,24.02,0.374,
481,2026-08-27T12:49:13.182,1,1,0.869,0.822,24.00,0.374,
482,2026-08-27T12:49:13.311,1,1,0.884,0.859,24.02,0.374,
483,2026-08-27T12:49:13.407,1,1,0.887,0.861,24.02,0.374,
484,2026-08-27T12:49:13.535,1,1,0.851,0.762,24.04,0.374,
485,2026-08-27T12:49:13.630,1,1,0.893,0.856,24.04,0.374,
486,2026-08-27T12:49:13.758,1,1,0.888,0.863,24.07,0.374,
487,2026-08-27T12:49:13.855,1,1,0.888,0.850,24.07,0.374,
488,2026-08-27T12:49:13.983,1,1,0.865,0.826,24.07,0.374,
489,2026-08-27T12:49:14.081,2,1,0.561,0.425,24.09,0.374,
490,2026-08-27T12:49:14.207,1,1,0.649,0.440,24.11,0.374,
491,2026-08-27T12:49:14.340,1,1,0.699,0.627,24.14,0.374,
492,2026-08-27T12:49:14.438,1,1,0.826,0.806,24.14,0.374,
493,2026-08-27T12:49:14.558,1,1,0.838,0.801,24.14,0.374,
494,2026-08-27T12:49:14.654,1,1,0.872,0.838,24.11,0.374,
495,2026-08-27T12:49:14.783,1,1,0.855,0.801,24.11,0.374,
496,2026-08-27T12:49:14.879,1,1,0.834,0.819,24.11,0.374,
497,2026-08-27T12:49:15.007,1,1,0.789,0.786,24.14,0.374,
498,2026-08-27T12:49:15.135,1,1,0.826,0.792,24.14,0.374,
499,2026-08-27T12:49:15.231,1,1,0.862,0.818,24.14,0.374,
500,2026-08-27T12:49:15.359,1,1,0.861,0.842,24.16,0.374,
501,2026-08-27T12:49:15.454,1,1,0.665,0.463,24.16,0.374,
502,2026-08-27T12:49:15.583,1,1,0.857,0.853,24.14,0.374,
503,2026-08-27T12:49:15.679,1,1,0.643,0.415,24.14,0.374,
504,2026-08-27T12:49:15.808,1,1,0.564,0.495,24.11,0.374,
505,2026-08-27T12:49:15.900,1,1,0.844,0.803,24.11,0.374,
506,2026-08-27T12:49:16.033,1,2,0.637,0.471,24.09,0.374,
507,2026-08-27T12:49:16.158,1,1,0.830,0.754,24.09,0.374,
508,2026-08-27T12:49:16.257,1,1,0.772,0.748,24.09,0.374,
509,2026-08-27T12:49:16.383,1,1,0.779,0.717,24.11,0.374,
510,2026-08-27T12:49:16.479,1,1,0.817,0.782,24.11,0.374,
511,2026-08-27T12:49:16.608,1,1,0.779,0.657,24.11,0.374,
512,2026-08-27T12:49:16.703,1,1,0.862,0.831,24.11,0.374,
513,2026-08-27T12:49:16.831,1,1,0.887,0.844,24.09,0.374,
514,2026-08-27T12:49:16.959,1,0,0.932,0.932,24.09,0.374,
515,2026-08-27T12:49:17.054,1,1,0.882,0.869,24.09,0.374,
516,2026-08-27T12:49:17.182,1,1,0.811,0.745,24.09,0.374,
517,2026-08-27T12:49:17.278,1,1,0.856,0.841,24.09,0.374,
518,2026-08-27T12:49:17.408,1,1,0.864,0.851,24.09,0.374,
519,2026-08-27T12:49:17.503,1,1,0.886,0.881,24.09,0.374,
520,2026-08-27T12:49:17.630,1,1,0.875,0.860,24.09,0.374,
521,2026-08-27T12:49:17.728,1,1,0.856,0.842,24.11,0.374,
522,2026-08-27T12:49:17.853,1,1,0.819,0.761,24.11,0.374,
523,2026-08-27T12:49:17.982,1,1,0.882,0.860,24.14,0.374,
524,2026-08-27T12:49:18.079,1,0,0.933,0.933,24.14,0.374,
525,2026-08-27T12:49:18.209,1,1,0.805,0.753,24.11,0.374,
526,2026-08-27T12:49:18.302,1,1,0.891,0.881,24.16,0.374,
527,2026-08-27T12:49:18.432,1,1,0.857,0.844,24.14,0.374,
528,2026-08-27T12:49:18.528,1,1,0.879,0.876,24.14,0.374,
529,2026-08-27T12:49:18.655,1,1,0.882,0.845,24.16,0.374,
530,2026-08-27T12:49:18.750,1,0,0.881,0.881,24.16,0.374,
531,2026-08-27T12:49:18.882,1,1,0.852,0.822,24.14,0.374,
532,2026-08-27T12:49:19.009,1,1,0.878,0.854,24.14,0.374,
533,2026-08-27T12:49:19.102,1,1,0.829,0.783,24.14,0.374,
534,2026-08-27T12:49:19.233,2,1,0.627,0.391,24.14,0.374,
535,2026-08-27T12:49:19.329,1,1,0.899,0.892,24.09,0.374,
536,2026-08-27T12:49:19.457,2,0,0.515,0.405,24.09,0.374,
537,2026-08-27T12:49:19.552,1,1,0.903,0.867,24.11,0.374,
538,2026-08-27T12:49:19.680,1,2,0.652,0.512,24.11,0.374,
539,2026-08-27T12:49:19.807,1,1,0.897,0.873,24.14,0.374,
540,2026-08-27T12:49:19.905,1,0,0.900,0.900,24.14,0.374,
541,2026-08-27T12:49:20.032,1,1,0.881,0.876,24.21,0.374,
542,2026-08-27T12:49:20.128,1,0,0.891,0.891,24.21,0.374,
543,2026-08-27T12:49:20.254,1,1,0.872,0.869,24.18,0.374,
544,2026-08-27T12:49:20.353,1,2,0.651,0.506,24.18,0.374,
545,2026-08-27T12:49:20.482,1,1,0.825,0.802,24.18,0.374,
546,2026-08-27T12:49:20.576,1,2,0.706,0.463,24.18,0.374,
547,2026-08-27T12:49:20.705,1,1,0.659,0.592,24.18,0.374,
548,2026-08-27T12:49:20.831,1,1,0.823,0.798,24.18,0.374,
549,2026-08-27T12:49:20.928,1,1,0.736,0.619,24.16,0.374,
550,2026-08-27T12:49:21.057,1,1,0.701,0.479,24.16,0.374,
551,2026-08-27T12:49:21.154,0,1,0.934,0.934,24.16,0.374,
552,2026-08-27T12:49:21.283,0,1,0.903,0.903,24.16,0.374,
553,2026-08-27T12:49:21.378,0,1,0.913,0.913,24.16,0.374,
554,2026-08-27T12:49:21.508,1,1,0.725,0.507,24.16,0.374,
555,2026-08-27T12:49:21.636,1,1,0.682,0.654,24.16,0.374,
556,2026-08-27T12:49:21.732,1,1,0.885,0.839,24.18,0.374,
557,2026-08-27T12:49:21.860,1,1,0.710,0.500,24.18,0.374,
558,2026-08-27T12:49:21.958,1,1,0.795,0.689,24.18,0.374,
559,2026-08-27T12:49:22.084,1,1,0.529,0.416,24.21,0.374,
560,2026-08-27T12:49:22.179,1,1,0.706,0.593,24.21,0.374,
561,2026-08-27T12:49:22.305,1,1,0.903,0.890,24.23,0.374,
562,2026-08-27T12:49:22.404,1,1,0.864,0.788,24.25,0.374,
563,2026-08-27T12:49:22.533,1,1,0.647,0.411,24.25,0.374,
564,2026-08-27T12:49:22.658,1,1,0.842,0.742,24.23,0.374,
565,2026-08-27T12:49:22.753,0,1,0.912,0.912,24.21,0.374,
566,2026-08-27T12:49:22.880,1,1,0.863,0.792,24.21,0.374,
567,2026-08-27T12:49:22.976,1,1,0.573,0.510,24.21,0.374,
568,2026-08-27T12:49:23.105,2,1,0.677,0.387,24.21,0.374,
569,2026-08-27T12:49:23.198,1,1,0.696,0.568,24.21,0.374,
